model,encoding,ansatz,shots,repeat,test_accuracy,test_loss
ry/simple,ry,simple,10000,17,1.0,0.1586914084989699
ry/simple,ry,simple,10000,18,1.0,0.1590614675572366
ry/simple,ry,simple,10000,19,1.0,0.15870251900964572
ry/simple,ry,simple,10000,20,1.0,0.15951784694735027
ry/simple,ry,simple,10000,21,1.0,0.1597761130893709
ry/simple,ry,simple,10000,22,1.0,0.16013546966161007
ry/simple,ry,simple,10000,23,1.0,0.15841509786960775
ry/simple,ry,simple,10000,24,1.0,0.1591783595365035
ry/simple,ry,simple,10000,25,1.0,0.1604177413175718
ry/simple,ry,simple,10000,26,1.0,0.15939014602579585
ry/simple,ry,simple,10000,27,1.0,0.16004520227622834
ry/simple,ry,simple,10000,28,1.0,0.15919951538594587
ry/simple,ry,simple,10000,29,1.0,0.15990748829683787
ry_rz/strong,ry_rz,strong,100,0,1.0,0.3190383282724642
ry_rz/strong,ry_rz,strong,100,1,1.0,0.3161481533086452
ry_rz/strong,ry_rz,strong,100,2,0.96,0.3180080648151501
ry_rz/strong,ry_rz,strong,100,3,1.0,0.3229215786257803
ry_rz/strong,ry_rz,strong,100,4,0.96,0.33507524347622164
ry_rz/strong,ry_rz,strong,100,5,1.0,0.30572532870553454
ry_rz/strong,ry_rz,strong,100,6,1.0,0.31124093966539523
ry_rz/strong,ry_rz,strong,100,7,0.96,0.34320991121236616
ry_rz/strong,ry_rz,strong,100,8,1.0,0.2826689115574617
ry_rz/strong,ry_rz,strong,100,9,0.96,0.3124616258205582
ry_rz/strong,ry_rz,strong,100,10,1.0,0.3120469184806891
ry_rz/strong,ry_rz,strong,100,11,1.0,0.3207065500582872
ry_rz/strong,ry_rz,strong,100,12,1.0,0.3147121351018429
ry_rz/strong,ry_rz,strong,100,13,0.96,0.3524601148498756
ry_rz/strong,ry_rz,strong,100,14,1.0,0.30911872141721286
ry_rz/strong,ry_rz,strong,100,15,0.96,0.29728196845808635
ry_rz/strong,ry_rz,strong,100,16,0.96,0.308783365243149
ry_rz/strong,ry_rz,strong,100,17,0.96,0.32155167341443075
ry_rz/strong,ry_rz,strong,100,18,1.0,0.2963937753769803
ry_rz/strong,ry_rz,strong,100,19,0.96,0.31127741175064505
ry_rz/strong,ry_rz,strong,100,20,1.0,0.32648851052764605
ry_rz/strong,ry_rz,strong,100,21,1.0,0.3032644584703456
ry_rz/strong,ry_rz,strong,100,22,1.0,0.31266206586188894
ry_rz/strong,ry_rz,strong,100,23,1.0,0.32557554764948343
ry_rz/strong,ry_rz,strong,100,24,0.96,0.335710957470206
ry_rz/strong,ry_rz,strong,100,25,1.0,0.31730760345422476
ry_rz/strong,ry_rz,strong,100,26,0.96,0.31948693851462057
ry_rz/strong,ry_rz,strong,100,27,1.0,0.3079898600824601
ry_rz/strong,ry_rz,strong,100,28,1.0,0.301708932042976
ry_rz/strong,ry_rz,strong,100,29,1.0,0.3149426932587835
ry_rz/strong,ry_rz,strong,1000,0,1.0,0.32040631473203995
ry_rz/strong,ry_rz,strong,1000,1,1.0,0.3154437410312875
ry_rz/strong,ry_rz,strong,1000,2,1.0,0.3126989174610364
ry_rz/strong,ry_rz,strong,1000,3,1.0,0.31567646985691694
ry_rz/strong,ry_rz,strong,1000,4,1.0,0.3156763936764145
ry_rz/strong,ry_rz,strong,1000,5,1.0,0.3192186145899297
ry_rz/strong,ry_rz,strong,1000,6,1.0,0.3026753905647316
ry_rz/strong,ry_rz,strong,1000,7,1.0,0.30670006238113506
ry_rz/strong,ry_rz,strong,1000,8,1.0,0.3127091287751552
ry_rz/strong,ry_rz,strong,1000,9,1.0,0.31151621936078266
ry_rz/strong,ry_rz,strong,1000,10,1.0,0.31220209702997725
ry_rz/strong,ry_rz,strong,1000,11,1.0,0.30992629296107316
ry_rz/strong,ry_rz,strong,1000,12,1.0,0.31113234532518824
ry_rz/strong,ry_rz,strong,1000,13,1.0,0.3127805885428126
ry_rz/strong,ry_rz,strong,1000,14,1.0,0.309485571825161
ry_rz/strong,ry_rz,strong,1000,15,1.0,0.3153177377857465
ry_rz/strong,ry_rz,strong,1000,16,1.0,0.31136966868058896
ry_rz/strong,ry_rz,strong,1000,17,1.0,0.31051441624842213
ry_rz/strong,ry_rz,strong,1000,18,1.0,0.31446743089851487
ry_rz/strong,ry_rz,strong,1000,19,1.0,0.3110097468859151
ry_rz/strong,ry_rz,strong,1000,20,1.0,0.31430708770678456
ry_rz/strong,ry_rz,strong,1000,21,1.0,0.31335401410600566
ry_rz/strong,ry_rz,strong,1000,22,1.0,0.310022958367995
ry_rz/strong,ry_rz,strong,1000,23,1.0,0.3144118864459764
ry_rz/strong,ry_rz,strong,1000,24,1.0,0.3164263964548288
ry_rz/strong,ry_rz,strong,1000,25,1.0,0.3113442723194408
ry_rz/strong,ry_rz,strong,1000,26,1.0,0.30853555940604616
ry_rz/strong,ry_rz,strong,1000,27,1.0,0.30982641683030565
ry_rz/strong,ry_rz,strong,1000,28,1.0,0.31568323050496994
ry_rz/strong,ry_rz,strong,1000,29,1.0,0.3150833511753359
ry_rz/strong,ry_rz,strong,10000,0,1.0,0.3123319647285932
ry_rz/strong,ry_rz,strong,10000,1,1.0,0.3114585776942437
ry_rz/strong,ry_rz,strong,10000,2,1.0,0.31462027387669184
ry_rz/strong,ry_rz,strong,10000,3,1.0,0.3147904414098155
ry_rz/strong,ry_rz,strong,10000,4,1.0,0.312149349393332
ry_rz/strong,ry_rz,strong,10000,5,1.0,0.31264971524101887
ry_rz/strong,ry_rz,strong,10000,6,1.0,0.310597071504909
ry_rz/strong,ry_rz,strong,10000,7,1.0,0.3103658369516763
ry_rz/strong,ry_rz,strong,10000,8,1.0,0.3114940400586519
ry_rz/strong,ry_rz,strong,10000,9,1.0,0.3102463962472562
ry_rz/strong,ry_rz,strong,10000,10,1.0,0.3111060882278612
ry_rz/strong,ry_rz,strong,10000,11,1.0,0.31249877453928276
ry_rz/strong,ry_rz,strong,10000,12,1.0,0.3108068752387336
ry_rz/strong,ry_rz,strong,10000,13,1.0,0.30937206608090184
ry_rz/strong,ry_rz,strong,10000,14,1.0,0.3148928176658078
ry_rz/strong,ry_rz,strong,10000,15,1.0,0.3110170674692959
ry_rz/strong,ry_rz,strong,10000,16,1.0,0.31183571753202505
ry_rz/strong,ry_rz,strong,10000,17,1.0,0.31204146007659955
ry_rz/strong,ry_rz,strong,10000,18,1.0,0.31174374771475505
ry_rz/strong,ry_rz,strong,10000,19,1.0,0.31044330353129174
ry_rz/strong,ry_rz,strong,10000,20,1.0,0.3121813347254313
ry_rz/strong,ry_rz,strong,10000,21,1.0,0.3119606627668937
ry_rz/strong,ry_rz,strong,10000,22,1.0,0.31157875409329067
ry_rz/strong,ry_rz,strong,10000,23,1.0,0.311089031156046
ry_rz/strong,ry_rz,strong,10000,24,1.0,0.3102182195976991
ry_rz/strong,ry_rz,strong,10000,25,1.0,0.3096467399222778
ry_rz/strong,ry_rz,strong,10000,26,1.0,0.31247904339352234
ry_rz/strong,ry_rz,strong,10000,27,1.0,0.3126255782774413
ry_rz/strong,ry_rz,strong,10000,28,1.0,0.31262476096095343
ry_rz/strong,ry_rz,strong,10000,29,1.0,0.3096704799973219
